Hotel Name,Price,Room Type,Rating,Number of ratings,Available Rooms,Max Occupancy Allowed,Address,Lat,Long,Map Link,Images,Oyo ID
OYO 40670 Hare Rama Guest House,1286,Saver Double (X),4.4,228,25,2,"Main Bazar, Opposite Khanna Talkies, Pahar Ganj, Bharat Nagar, Paharganj, Delhi",28.640722,77.212387,http://bit.ly/2FdOg8x,https://images.oyoroomscdn.com/uploads/hotel_image/59066/bea95f051a8d6922.jpg,DEL1647
OYO 5411 Hotel City Castle,1405,Classic (2X),4.7,2043,25,3," Plot No. 1100/12 Naiwala, Ilahi Baksh Road, Karol Bagh,, Delhi",28.647389,77.196972,https://bit.ly/2VPVoTQ,https://images.oyoroomscdn.com/uploads/hotel_image/15061/d7ddce6041bc8f83.jpg,DEL767
OYO 41651 Hotel Gauranga Inn,1902,Classic (2X),3.9,188,14,3,"1068, Main Bazar Rd, Paharganj, Delhi",28.641028,77.215874,http://bit.ly/2W0JkcD,https://images.oyoroomscdn.com/uploads/hotel_image/60064/9798868b8df3a419.jpg,DEL1671
SPOT ON 68379 Hotel Harry's 1,735,SPOT ON NON-AC SAVER,4.2,1302,14,1," C-1, Hotel Harry's 1 near Bal Kishan Memorial Hospital, Khanpur extension, Delhi",28.511472,77.234722,https://bit.ly/3B8Dlbq,https://images.oyoroomscdn.com/uploads/hotel_image/93437/9faea8ab346233af.jpg,DEL2334
OYO 9726 Hotel Aura Palace Deluxe,1029,Classic (2X),4.4,2274,15,3,"Sangtrashan, Pahar Ganj, Delhi",28.64274,77.212545,http://bit.ly/2mk8eYm,https://images.oyoroomscdn.com/uploads/hotel_image/15977/deccd6d049538389.jpg,DEL802
OYO Flagship 76522 Star Stay,1488,Classic (2X),4.7,782,3,3,"street no 12 60fft road vishwas nagar shahdara, Delhi",28.662863,77.289781,https://bit.ly/3dZs2r9,https://images.oyoroomscdn.com/uploads/hotel_image/107406/2931b0d766b12187.jpg,DEL2832
OYO 77279 Hotel Grand inn,1603,Deluxe (3X),,,10,3,"F- 24,35-36, Sector 7, Rohini, Near ayodhya chowk, Delhi",28.708875,77.11174,https://bit.ly/3BpdT1N,https://images.oyoroomscdn.com/uploads/hotel_image/108361/d4762e3f2b97b791.jpg,DEL2890
Capital O 82884 Hotel Vasant City,1552,Deluxe (3X),,,21,3,"Institutional Area, Vasant Kunj, Vasant Vihar Tehsil, New Delhi, Delhi, Delhi",28.54112,77.129644,https://bit.ly/3CNLSRs,https://images.oyoroomscdn.com/uploads/hotel_image/115027/ead058a5a7eed84e.jpg,DEL3347
OYO  Capital O 664 Hotel Tourist,1492,Classic (2X),4.5,921,57,3,"Ram Nagar, Delhi",28.647899,77.217859,https://bit.ly/3xOpQvz,https://images.oyoroomscdn.com/uploads/hotel_image/608/385084b40db1991b.jpg,DEL174
SPOT ON 61091 Hotel Silver Palace Dx,1231,SPOT ON,4.6,1947,7,3,"614, Mantola, Near 6 Tooti Chowk, Pahar Ganj, Delhi",28.641877,77.213181,http://bit.ly/2mxwneM,https://images.oyoroomscdn.com/uploads/hotel_image/81963/60f05925fc04a2b5.jpg,DEL2047
OYO 75463 Jkm Palace,988,Classic (2X),4.4,2647,32,3,"Plot No 81, Near Pocket 10B, Near Apollo Hospital, Jasola, Delhi",28.5455697204212,77.2918088547885,https://bit.ly/2EkJUzo,https://images.oyoroomscdn.com/uploads/hotel_image/105979/62bb0c4455ddda4e.jpg,DEL2746
SPOT ON 76719 Best Stay,840,SPOT ON NON-AC,4.5,955,41,3,"Sitapuri Part 1, Solanki Pull, Pankha Rd, Delhi",28.613987,77.081322,https://bit.ly/3mRj02F,https://images.oyoroomscdn.com/uploads/hotel_image/107660/5f243c14a0018cab.jpg,DEL2848
OYO 7684 Hotel Repose Villa,1350,Classic (2X),4.6,2339,3,3,"2659/60, Gali No-8, China Mandi, Pahar Ganj, New Delhi, Delhi",28.643552,77.211608,https://bit.ly/3gVzXrp,https://images.oyoroomscdn.com/uploads/hotel_image/15322/c9d571d28eadde77.jpg,DEL775
OYO Flagship 81480 Stay New View House,1507,Classic (2X),4.1,9,10,3,"Hargovind Enclave, Vivek Vihar Tehsil, Shahdara, Delhi, 110051, India, Delhi",28.646801,77.302506,https://bit.ly/3f9bvTn,https://images.oyoroomscdn.com/uploads/hotel_image/113433/e590c89eb39cee3b.jpg,DEL3226
Capital O 83021 Sk International,1595,Classic (2X),,,22,3,"A-142 Shakarpur, laxmi nagar East Delhi, Delhi",28.6318114417245,77.2808020748198,https://bit.ly/3EARPmr,https://images.oyoroomscdn.com/uploads/hotel_image/115175/4a27f83840ae90e5.jpg,DEL3357
Collection O 18927 Maya Palace Mayapuri,1570,Classic (2X),4.5,1997,23,3,"C-212/1, Phase-2 Maya pury, Main Road, Mayapuri Industrial Area Phase II, Mayapuri, Delhi",28.620376942292335,77.11531368762071,"https://www.google.com/maps/search/?api=1&query=28.620376942292335,77.11531368762071",https://images.oyoroomscdn.com/uploads/hotel_image/105229/1487613012a5ea11.JPG,DEL2705
OYO Flagship 29962 South Continental (b&b),1786,Classic (2X),4.1,960,9,3,"CR Park, Outer Ring Road ( Service Lane), Delhi",28.5437,77.244677,http://bit.ly/2Va9Cc9,https://images.oyoroomscdn.com/uploads/hotel_image/51028/374202fd40f80b01.jpg,DEL1398
OYO 74553 Sunshine Dwarka,1537,Classic (2X),4.4,10,16,3,"F-6428, Near by Ram fhal chowk, IGNU vali gali, Palam Etension, Sector 7, Delhi",28.585988,77.071907,https://bit.ly/328HFZx,https://images.oyoroomscdn.com/uploads/hotel_image/104708/34037277f16f5967.jpg,DEL2684
OYO 2064 Hotel The Spot,1231,Saver Double (X),4.6,648,6,2,"867-868 Gali Chandi Wali ,Main Bazar, Pahar Ganj,New Delhi , Delhi",28.64175,77.21475,https://bit.ly/2WyRZZZ,https://images.oyoroomscdn.com/uploads/hotel_image/2714/45a49eb695f18dc5.mp4,DEL279
OYO Flagship 82778 Metro Stay,1231,Saver Double (X),4.9,28,5,2,"U-88 Uppadhay block subhash marg Shakarpur, near to gate no. 2 Laxmi Nagar, Delhi",28.629187,77.275016,https://bit.ly/3nsJg78,https://images.oyoroomscdn.com/uploads/hotel_image/114919/4f7081bffff39ede.jpg,DEL3330
OYO 61639 Red Carmine,1931,Classic (2X),4.6,422,15,3,"Plot No. 5, Red Carmine, Near Prakash Pump, Badarpur Border,, Delhi",28.4925891,77.3039653,https://bit.ly/3vUePXQ,https://images.oyoroomscdn.com/uploads/hotel_image/82737/842489094d26e92e.jpg,DEL2069
Capital O 3924 Durga International,1318,Classic (2X),3.8,138,43,3,"DB Gupta Road, Delhi",28.644588194151588,77.21515400335193,https://bit.ly/3y0b1Wg,https://images.oyoroomscdn.com/uploads/hotel_image/6127/ff2be622f7426b3a.jpg,DEL471
OYO 16978 Hotel Sterling Inn,1807,Saver Double (X),4.6,169,3,2,"Gali-chandiwali, Main bazar, Paharganj, Delhi",28.642003,77.216983,http://bit.ly/35tW6p5,https://images.oyoroomscdn.com/uploads/hotel_image/40134/cee3fb43f897ceb9.jpg,DEL1038
